regCodeExt	metaCondition	condition	conditionCode	context	contextCode	regName	variant	regCode	component	day	cycleTaken	cycleLength	noCycles	branchInfo	Radio.Therapy.	continuous	noCycles_Original	regString	shortString
103.63.1535.1	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	63	Carboplatin & Etoposide (CE)	1	1535	Carboplatin	1		21	3			TRUE	Cont.	17.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;17.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;	17.carboplatin;0.etoposide;1.etoposide;1.etoposide;1.etoposide;1.etoposide;
103.65.1536.1	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	65	Carboplatin & Etoposide (CE) & Atezolizumab	1	1536	Atezolizumab	1		21	3			TRUE	Cont.	19.Atezolizumab;0.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;19.Atezolizumab;0.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;	19.atezolizumab;0.carboplatin;0.etoposide;1.etoposide;1.etoposide;
103.65.1537.1	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	65	Carboplatin & Etoposide (CE) & Bevacizumab	1	1537	Bevacizumab	1		21	3			FALSE	4	19.Bevacizumab;0.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;19.Bevacizumab;0.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;	19.bevacizumab;0.carboplatin;0.etoposide;1.etoposide;1.etoposide;
103.65.1538.1	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	65	Carboplatin & Etoposide (CE) & Durvalumab	1	1538	Carboplatin	1		21	3			FALSE	4	19.Carboplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;19.Carboplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;	19.carboplatin;0.durvalumab;0.etoposide;1.etoposide;1.etoposide;
103.66.1538.2	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	66	Carboplatin & Etoposide (CE) & Durvalumab	2	1538	Carboplatin	1		28	3			TRUE	Cont.	26.Carboplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;26.Carboplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;	26.carboplatin;0.durvalumab;0.etoposide;1.etoposide;1.etoposide;
103.67.1539.1	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	67	Carboplatin & Etoposide (CE) & Serplulimab	1	1539	Carboplatin	1		21	3			TRUE	Cont.	19.Carboplatin;0.Etoposide;0.Serplulimab;1.Etoposide;1.Etoposide;19.Carboplatin;0.Etoposide;0.Serplulimab;1.Etoposide;1.Etoposide;	19.carboplatin;0.etoposide;0.serplulimab;1.etoposide;1.etoposide;
103.67.1540.1	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	67	Carboplatin & Irinotecan	1	1540	Carboplatin	1		21	3			FALSE	4	21.Carboplatin;0.Irinotecan;21.Carboplatin;0.Irinotecan;	21.carboplatin;0.irinotecan;
103.68.1540.2	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	68	Carboplatin & Irinotecan	2	1540	Carboplatin	1		28	3			TRUE	Cont.	14.Carboplatin;0.Irinotecan;7.Irinotecan;7.Irinotecan;14.Carboplatin;0.Irinotecan;7.Irinotecan;7.Irinotecan;	14.carboplatin;0.irinotecan;7.irinotecan;7.irinotecan;
103.70.1542.2	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	70	Cisplatin & Etoposide (EP)	2	1542	Cisplatin	1,2,3		21	3			TRUE	Cont.	18.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Etoposide;18.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Etoposide;	18.cisplatin;0.etoposide;1.cisplatin;0.etoposide;1.cisplatin;0.etoposide;1.etoposide;
103.71.1542.3	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	71	Cisplatin & Etoposide (EP)	3	1542	Cisplatin	1,2,3,4		21	3			FALSE	4	18.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;18.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;	18.cisplatin;0.etoposide;1.cisplatin;0.etoposide;1.cisplatin;0.etoposide;1.cisplatin;0.etoposide;
103.72.1542.4	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	72	Cisplatin & Etoposide (EP)	4	1542	Cisplatin	2		21	3			FALSE	6	19.Etoposide;1.Cisplatin;0.Etoposide;1.Etoposide;19.Etoposide;1.Cisplatin;0.Etoposide;1.Etoposide;	19.etoposide;1.cisplatin;0.etoposide;1.etoposide;
103.73.1542.5	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	73	Cisplatin & Etoposide (EP)	5	1542	Cisplatin	1,2,3,4,5		21	3			FALSE	4	17.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;17.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;1.Cisplatin;0.Etoposide;	17.cisplatin;0.etoposide;1.cisplatin;0.etoposide;1.cisplatin;0.etoposide;1.cisplatin;0.etoposide;1.cisplatin;0.etoposide;
103.74.1543.1	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	74	Cisplatin & Etoposide (EP) & Bevacizumab	1	1543	Bevacizumab	1		21	3			TRUE	Cont.	19.Bevacizumab;0.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;19.Bevacizumab;0.Cisplatin;0.Etoposide;1.Etoposide;1.Etoposide;	19.bevacizumab;0.cisplatin;0.etoposide;1.etoposide;1.etoposide;
103.74.1544.1	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	74	Cisplatin & Etoposide (EP) & Durvalumab	1	1544	Cisplatin	1		21	3			TRUE	Cont.	19.Cisplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;19.Cisplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;	19.cisplatin;0.durvalumab;0.etoposide;1.etoposide;1.etoposide;
103.75.1544.2	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	75	Cisplatin & Etoposide (EP) & Durvalumab	2	1544	Cisplatin	1		28	3			TRUE	Cont.	26.Cisplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;26.Cisplatin;0.Durvalumab;0.Etoposide;1.Etoposide;1.Etoposide;	26.cisplatin;0.durvalumab;0.etoposide;1.etoposide;1.etoposide;
103.76.1545.1	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	76	Cisplatin & Irinotecan (IC)	1	1545	Cisplatin	1,8		21	3			TRUE	Cont.	14.Cisplatin;0.Irinotecan;7.Cisplatin;0.Irinotecan;14.Cisplatin;0.Irinotecan;7.Cisplatin;0.Irinotecan;	14.cisplatin;0.irinotecan;7.cisplatin;0.irinotecan;
103.77.1545.2	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	77	Cisplatin & Irinotecan (IC)	2	1545	Cisplatin	1		21	3			TRUE	Cont.	14.Cisplatin;0.Irinotecan;7.Irinotecan;14.Cisplatin;0.Irinotecan;7.Irinotecan;	14.cisplatin;0.irinotecan;7.irinotecan;
103.78.1548.1	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	78	IVE	1	1548	Epirubicin	1		21	3			TRUE	Cont.	19.Epirubicin;0.Etoposide;0.Ifosfamide;1.Etoposide;0.Ifosfamide;1.Etoposide;0.Ifosfamide;19.Epirubicin;0.Etoposide;0.Ifosfamide;1.Etoposide;0.Ifosfamide;1.Etoposide;0.Ifosfamide;	19.epirubicin;0.etoposide;0.ifosfamide;1.etoposide;0.ifosfamide;1.etoposide;0.ifosfamide;
103.78.1549.1	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, induction	78	Teniposide monotherapy	1	1549	Teniposide	1,2,3,4,5		21	3			TRUE	Cont.	17.Teniposide;1.Teniposide;1.Teniposide;1.Teniposide;1.Teniposide;17.Teniposide;1.Teniposide;1.Teniposide;1.Teniposide;1.Teniposide;	17.teniposide;1.teniposide;1.teniposide;1.teniposide;1.teniposide;
103.78.1552.1	Thoraic Oncology	Small cell lung cancer	103	Extensive stage, maintenance after first-line therapy	78	Sunitinib monotherapy	1	1552	Sunitinib	1, 2, 3, 4, 5, 6, 7		7	3			TRUE	Cont.	1.Sunitinib;1.Sunitinib;1.Sunitinib;1.Sunitinib;1.Sunitinib;1.Sunitinib;1.Sunitinib;1.Sunitinib;1.Sunitinib;1.Sunitinib;1.Sunitinib;1.Sunitinib;1.Sunitinib;1.Sunitinib;	1.sunitinib;1.sunitinib;
103.78.1555.1	Thoraic Oncology	Small cell lung cancer	103	Relapsed or refractory disease, second-line	78	Cisplatin, Etoposide, Irinotecan	1	1555	Carboplatin	1,8		14	3			FALSE	5	7.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;5.Carboplatin;0.Irinotecan;7.Carboplatin;0.Etoposide;1.Etoposide;1.Etoposide;5.Carboplatin;0.Irinotecan;	7.carboplatin;0.etoposide;1.etoposide;1.etoposide;5.carboplatin;0.irinotecan;
103.78.1556.1	Thoraic Oncology	Small cell lung cancer	103	Relapsed or refractory disease, second-line	78	Lurbinectedin monotherapy	1	1556	Lurbinectedin	1		21	3			TRUE	Cont.	21.Lurbinectedin;21.Lurbinectedin;	21.lurbinectedin;21.lurbinectedin;
103.78.1557.1	Thoraic Oncology	Small cell lung cancer	103	Relapsed or refractory disease, subsequent lines	78	Bendamustine monotherapy	1	1557	Bendamustine	1,2		21	3			TRUE	Cont.	20.Bendamustine;1.Bendamustine;20.Bendamustine;1.Bendamustine;	20.bendamustine;1.bendamustine;
103.78.1558.1	Thoraic Oncology	Small cell lung cancer	103	Relapsed or refractory disease, subsequent lines	78	CAV	1	1558	Cyclophosphamide	1		21	3			TRUE	Cont.	21.Cyclophosphamide;0.Doxorubicin;0.Vincristine;21.Cyclophosphamide;0.Doxorubicin;0.Vincristine;	21.cyclophosphamide;0.doxorubicin;0.vincristine;
103.78.1561.1	Thoraic Oncology	Small cell lung cancer	103	Relapsed or refractory disease, subsequent lines	78	Epirubicin & Ifosfamide	1	1561	Epirubicin	1		28	3			TRUE	Cont.	27.Epirubicin;0.Ifosfamide;1.Ifosfamide;27.Epirubicin;0.Ifosfamide;1.Ifosfamide;	27.epirubicin;0.ifosfamide;1.ifosfamide;
103.78.1562.1	Thoraic Oncology	Small cell lung cancer	103	Relapsed or refractory disease, subsequent lines	78	Etoposide monotherapy	1	1562	Etoposide	1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21		21	3			TRUE	Cont.	1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;1.Etoposide;	1.etoposide;1.etoposide;
103.78.1564.1	Thoraic Oncology	Small cell lung cancer	103	Relapsed or refractory disease, subsequent lines	78	Ifosfamide monotherapy	1	1564	Ifosfamide	1		21	3			TRUE	Cont.	21.Ifosfamide;21.Ifosfamide;	21.ifosfamide;21.ifosfamide;
103.78.1565.1	Thoraic Oncology	Small cell lung cancer	103	Relapsed or refractory disease, subsequent lines	78	Ifosfamide & Paclitaxel	1	1565	Ifosfamide	1,2		21	3			TRUE	Cont.	20.Ifosfamide;0.Paclitaxel;1.Ifosfamide;20.Ifosfamide;0.Paclitaxel;1.Ifosfamide;	20.ifosfamide;0.paclitaxel;1.ifosfamide;
103.78.1566.1	Thoraic Oncology	Small cell lung cancer	103	Relapsed or refractory disease, subsequent lines	78	Irinotecan monotherapy	1	1566	Irinotecan	1,8,15		21	3			TRUE	Cont.	7.Irinotecan;7.Irinotecan;7.Irinotecan;7.Irinotecan;7.Irinotecan;7.Irinotecan;	7.irinotecan;7.irinotecan;
103.79.1566.2	Thoraic Oncology	Small cell lung cancer	103	Relapsed or refractory disease, subsequent lines	79	Irinotecan monotherapy	2	1566	Irinotecan	1		21	3			TRUE	Cont.	21.Irinotecan;21.Irinotecan;	21.irinotecan;21.irinotecan;
103.80.1567.1	Thoraic Oncology	Small cell lung cancer	103	Relapsed or refractory disease, subsequent lines	80	Paclitaxel monotherapy	1	1567	Paclitaxel	1		21	3			TRUE	Cont.	21.Paclitaxel;21.Paclitaxel;	21.paclitaxel;21.paclitaxel;
103.81.1567.2	Thoraic Oncology	Small cell lung cancer	103	Relapsed or refractory disease, subsequent lines	81	Paclitaxel monotherapy	2	1567	Paclitaxel	1,8,15,22,29,36		56	3			TRUE	Cont.	21.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;21.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;7.Paclitaxel;	7.paclitaxel;7.paclitaxel;
103.82.1568.1	Thoraic Oncology	Small cell lung cancer	103	Relapsed or refractory disease, subsequent lines	82	Temozolomide monotherapy	1	1568	Temozolomide	1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21		28	3			TRUE	Cont.	8.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;8.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;	8.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;
103.83.1568.2	Thoraic Oncology	Small cell lung cancer	103	Relapsed or refractory disease, subsequent lines	83	Temozolomide monotherapy	2	1568	Temozolomide	1,2,3,4,5		28	3			TRUE	Cont.	24.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;24.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;1.Temozolomide;	24.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;1.temozolomide;
103.84.1569.1	Thoraic Oncology	Small cell lung cancer	103	Relapsed or refractory disease, subsequent lines	84	Topotecan monotherapy	1	1569	Topotecan	1,2,3,4,5		21	3			TRUE	Cont.	17.Topotecan;1.Topotecan;1.Topotecan;1.Topotecan;1.Topotecan;17.Topotecan;1.Topotecan;1.Topotecan;1.Topotecan;1.Topotecan;	17.topotecan;1.topotecan;1.topotecan;1.topotecan;1.topotecan;
104.86.1571.3	Thoraic Oncology	Thymoma	104	Neoadjuvant therapy for borderline resectable disease	86	PAC	3	1571	Cisplatin	1,2,3		21	3	Cont. Infusion		FALSE	3	18.Cisplatin;0.Cyclophosphamide;0.Doxorubicin;1.Cisplatin;0.Doxorubicin;1.Cisplatin;0.Doxorubicin;1.Doxorubicin;18.Cisplatin;0.Cyclophosphamide;0.Doxorubicin;1.Cisplatin;0.Doxorubicin;1.Cisplatin;0.Doxorubicin;1.Doxorubicin;	18.cisplatin;0.cyclophosphamide;0.doxorubicin;1.cisplatin;0.doxorubicin;1.cisplatin;0.doxorubicin;1.doxorubicin;
104.87.1571.4	Thoraic Oncology	Thymoma	104	Neoadjuvant therapy for borderline resectable disease	87	PAC	4	1571	Cisplatin	1,2,3		28	3	Cont. Infusion		FALSE	3	25.Cisplatin;0.Cyclophosphamide;0.Doxorubicin;1.Cisplatin;0.Doxorubicin;1.Cisplatin;0.Doxorubicin;1.Doxorubicin;25.Cisplatin;0.Cyclophosphamide;0.Doxorubicin;1.Cisplatin;0.Doxorubicin;1.Cisplatin;0.Doxorubicin;1.Doxorubicin;	25.cisplatin;0.cyclophosphamide;0.doxorubicin;1.cisplatin;0.doxorubicin;1.cisplatin;0.doxorubicin;1.doxorubicin;
104.90.1571.3	Thoraic Oncology	Thymoma	104	Adjuvant therapy	90	PAC	3	1571	Cisplatin	1,2,3		21	3	Cont. Infusion		FALSE	3	18.Cisplatin;0.Cyclophosphamide;0.Doxorubicin;1.Cisplatin;0.Cyclophosphamide;1.Cisplatin;0.Cyclophosphamide;1.Cyclophosphamide;18.Cisplatin;0.Cyclophosphamide;0.Doxorubicin;1.Cisplatin;0.Cyclophosphamide;1.Cisplatin;0.Cyclophosphamide;1.Cyclophosphamide;	18.cisplatin;0.cyclophosphamide;0.doxorubicin;1.cisplatin;0.cyclophosphamide;1.cisplatin;0.cyclophosphamide;1.cyclophosphamide;
104.91.1571.4	Thoraic Oncology	Thymoma	104	Adjuvant therapy	91	PAC	4	1571	Cisplatin	1,2,3		28	3	Cont. Infusion		FALSE	3	25.Cisplatin;0.Cyclophosphamide;0.Doxorubicin;1.Cisplatin;0.Cyclophosphamide;1.Cisplatin;0.Cyclophosphamide;1.Cyclophosphamide;25.Cisplatin;0.Cyclophosphamide;0.Doxorubicin;1.Cisplatin;0.Cyclophosphamide;1.Cisplatin;0.Cyclophosphamide;1.Cyclophosphamide;	25.cisplatin;0.cyclophosphamide;0.doxorubicin;1.cisplatin;0.cyclophosphamide;1.cisplatin;0.cyclophosphamide;1.cyclophosphamide;
104.92.1572.1	Thoraic Oncology	Thymoma	104	Advanced or metastatic disease, first-line therapy	92	ADOC	1	1572	Cisplatin	1		21	3			TRUE	Cont.	18.Cisplatin;0.Doxorubicin;2.Vincristine;1.Cyclophosphamide;18.Cisplatin;0.Doxorubicin;2.Vincristine;1.Cyclophosphamide;	18.cisplatin;0.doxorubicin;2.vincristine;1.cyclophosphamide;
104.93.1572.2	Thoraic Oncology	Thymoma	104	Advanced or metastatic disease, first-line therapy	93	ADOC	2	1572	Cisplatin	1		28	3			TRUE	Cont.	25.Cisplatin;0.Doxorubicin;2.Vincristine;1.Cyclophosphamide;25.Cisplatin;0.Doxorubicin;2.Vincristine;1.Cyclophosphamide;	25.cisplatin;0.doxorubicin;2.vincristine;1.cyclophosphamide;
104.94.1575.1	Thoraic Oncology	Thymoma	104	Advanced or metastatic disease, first-line therapy	94	PAC	1	1575	Cisplatin	1		21	3			TRUE	Cont.	21.Cisplatin;0.Cyclophosphamide;0.Doxorubicin;21.Cisplatin;0.Cyclophosphamide;0.Doxorubicin;	21.cisplatin;0.cyclophosphamide;0.doxorubicin;
